1,1,ひろこさんが着ているドレスは何色ですか？
1,2,さきさんが持っていたカバンは何色ですか？
1,3,なおこさんが持っているペンは何本ですか？
1,4,たけしさんが買ったりんごはいくつですか？
1,5,えりさんが履いている靴は何色ですか？
1,6,まことさんが借りた本はいくつですか？
1,7,さやかさんが日曜日にかぶった帽子は何色ですか？
1,8,けんじさんがカフェに行った友達は何人ですか？
1,9,たかしさんが飼っている猫は何匹ですか？
1,10,ゆうたさんが乗っている車は何色ですか？
2,1,けんじさんが水曜日に読んだ本は何冊ですか？
2,2,たけしさんがサッカーをした友達は何人ですか？
2,3,たろうさんが食べたパンはいくつですか？
2,4,ひでおさんが運転している車は何色ですか？
2,5,まさこさんが着ているジャケットは何色ですか？
2,6,ゆうたさんが履いている靴は何色ですか？
2,7,あきこさんが持っているバッグは何色ですか？
2,8,たかしさんが使って遊んだボールはいくつですか？
2,9,まりこさんが持っているカサは何色ですか？
2,10,さやかさんが月曜日に買った花は何本ですか？
3,1,まりこさんが履いている靴は何色ですか？
3,2,たろうさんが火曜日に食べたリンゴはいくつですか？
3,3,なおみさんが水曜日に買ったペンは何本ですか？
3,4,ひろしさんがかぶっている帽子は何色ですか？
3,5,まゆこさんが映画を見た友達は何人ですか？
3,6,ゆうたさんが読んだ雑誌は何冊ですか？
3,7,けんじさんが着ているジャケットは何色ですか？
3,8,さとしさんが持っているカサは何色ですか？
3,9,たけるさんが使ったノートは何冊ですか？
3,10,ひでおさんが乗っている車は何色ですか？
4,1,まりこさんがもらったプレゼントはいくつですか？
4,2,なおみさんが履いている靴は何色ですか？
4,3,けんたさんが日曜日に食べたパンはいくつですか？
4,4,あやかさんが着ているドレスは何色ですか？
4,5,ひでおさんがかぶっている帽子は何色ですか？
4,6,ひろとさんが旅行に行った友達は何人ですか？
4,7,たろうさんが月曜日に借りた本は何冊ですか？
4,8,まさおさんが水曜日に作ったクッキーはいくつですか？
4,9,さやかさんが持っているカバンは何色ですか？
4,10,さとしさんが乗っている自転車は何色ですか？
5,1,たかしさんが買った雑誌は何冊ですか？
5,2,みきさんが着ているシャツは何色ですか？
5,3,あきこさんが持っているバッグは何色ですか？
5,4,たろうさんが日曜日に食べたケーキはいくつですか？
5,5,さやかさんが飼っている犬は何匹ですか？
5,6,ひでおさんが運転している車は何色ですか？
5,7,まりこさんがもらった花は何本ですか？
5,8,ゆうたさんが火曜日に投げたボールはいくつですか？
5,9,ひろこさんが履いている靴は何色ですか？
5,10,まことさんがかぶっている帽子は何色ですか？
