1,1,1,A. 緑色
1,1,2,B. 青色
1,1,3,C. 黄色
1,1,4,D. 白色
1,2,1,A. 赤色
1,2,2,B. 青色
1,2,3,C. 黄色
1,2,4,D. 緑色
1,3,1,A. 4本
1,3,2,B. 5本
1,3,3,C. 6本
1,3,4,D. 7本
1,4,1,A. 2つ
1,4,2,B. 3つ
1,4,3,C. 4つ
1,4,4,D. 5つ
1,5,1,A. 赤色
1,5,2,B. 青色
1,5,3,C. 黒色
1,5,4,D. 黄色
1,6,1,A. 1つ
1,6,2,B. 2つ
1,6,3,C. 3つ
1,6,4,D. 4つ
1,7,1,A. 白色
1,7,2,B. 赤色
1,7,3,C. 青色
1,7,4,D. 黒色
1,8,1,A. 3人
1,8,2,B. 4人
1,8,3,C. 5人
1,8,4,D. 6人
1,9,1,A. 1匹
1,9,2,B. 2匹
1,9,3,C. 3匹
1,9,4,D. 4匹
1,10,1,A. 青色
1,10,2,B. 赤色
1,10,3,C. 緑色
1,10,4,D. 黒色
2,1,1,A. 2冊
2,1,2,B. 3冊
2,1,3,C. 4冊
2,1,4,D. 5冊
2,2,1,A. 4人
2,2,2,B. 5人
2,2,3,C. 6人
2,2,4,D. 7人
2,3,1,A. 1つ
2,3,2,B. 2つ
2,3,3,C. 3つ
2,3,4,D. 4つ
2,4,1,A. 黄色
2,4,2,B. 青色
2,4,3,C. 赤色
2,4,4,D. 緑色
2,5,1,A. 赤色
2,5,2,B. 青色
2,5,3,C. 黒色
2,5,4,D. 白色
2,6,1,A. 黒色
2,6,2,B. 赤色
2,6,3,C. 青色
2,6,4,D. 緑色
2,7,1,A. 緑色
2,7,2,B. 黒色
2,7,3,C. 青色
2,7,4,D. 赤色
2,8,1,A. 2つ
2,8,2,B. 3つ
2,8,3,C. 4つ
2,8,4,D. 5つ
2,9,1,A. 青色
2,9,2,B. 緑色
2,9,3,C. 黒色
2,9,4,D. 白色
2,10,1,A. 2本
2,10,2,B. 3本
2,10,3,C. 5本
2,10,4,D. 6本
3,1,1,A. 黒色
3,1,2,B. 青色
3,1,3,C. 黄色
3,1,4,D. 緑色
3,2,1,A. 1つ
3,2,2,B. 2つ
3,2,3,C. 3つ
3,2,4,D. 4つ
3,3,1,A. 4本
3,3,2,B. 5本
3,3,3,C. 6本
3,3,4,D. 7本
3,4,1,A. 赤色
3,4,2,B. 黒色
3,4,3,C. 白色
3,4,4,D. 青色
3,5,1,A. 2人
3,5,2,B. 3人
3,5,3,C. 4人
3,5,4,D. 5人
3,6,1,A. 2冊
3,6,2,B. 3冊
3,6,3,C. 4冊
3,6,4,D. 5冊
3,7,1,A. 青色
3,7,2,B. 赤色
3,7,3,C. 黒色
3,7,4,D. 緑色
3,8,1,A. 青色
3,8,2,B. 赤色
3,8,3,C. 白色
3,8,4,D. 黄色
3,9,1,A. 1冊
3,9,2,B. 2冊
3,9,3,C. 3冊
3,9,4,D. 4冊
3,10,1,A. 白色
3,10,2,B. 赤色
3,10,3,C. 黒色
3,10,4,D. 青色
4,1,1,A. 1つ
4,1,2,B. 2つ
4,1,3,C. 3つ
4,1,4,D. 4つ
4,2,1,A. 黒色
4,2,2,B. 白色
4,2,3,C. 赤色
4,2,4,D. 青色
4,3,1,A. 3つ
4,3,2,B. 4つ
4,3,3,C. 5つ
4,3,4,D. 6つ
4,4,1,A. 赤色
4,4,2,B. 青色
4,4,3,C. 緑色
4,4,4,D. 黄色
4,5,1,A. 青色
4,5,2,B. 赤色
4,5,3,C. 黒色
4,5,4,D. 黄色
4,6,1,A. 2人
4,6,2,B. 3人
4,6,3,C. 4人
4,6,4,D. 5人
4,7,1,A. 2冊
4,7,2,B. 3冊
4,7,3,C. 4冊
4,7,4,D. 5冊
4,8,1,A. 4個
4,8,2,B. 5個
4,8,3,C. 6個
4,8,4,D. 7個
4,9,1,A. 青色
4,9,2,B. 黒色
4,9,3,C. 緑色
4,9,4,D. 赤色
4,10,1,A. 黄色
4,10,2,B. 青色
4,10,3,C. 緑色
4,10,4,D. 赤色
5,1,1,A. 3冊
5,1,2,B. 4冊
5,1,3,C. 5冊
5,1,4,D. 6冊
5,2,1,A. 青色
5,2,2,B. 黄色
5,2,3,C. 黒色
5,2,4,D. 赤色
5,3,1,A. 青色
5,3,2,B. 緑色
5,3,3,C. 赤色
5,3,4,D. 黄色
5,4,1,A. 2つ
5,4,2,B. 3つ
5,4,3,C. 4つ
5,4,4,D. 5つ
5,5,1,A. 1匹
5,5,2,B. 2匹
5,5,3,C. 3匹
5,5,4,D. 4匹
5,6,1,A. 赤色
5,6,2,B. 青色
5,6,3,C. 黒色
5,6,4,D. 黄色
5,7,1,A. 4本
5,7,2,B. 5本
5,7,3,C. 6本
5,7,4,D. 7本
5,8,1,A. 4つ
5,8,2,B. 5つ
5,8,3,C. 6つ
5,8,4,D. 7つ
5,9,1,A. 赤色
5,9,2,B. 青色
5,9,3,C. 黒色
5,9,4,D. 白色
5,10,1,A. 黒色
5,10,2,B. 青色
5,10,3,C. 緑色
5,10,4,D. 赤色
